t,M1,M2,OPC
3/03/2016 10:35,12.11,13.9,8.95
3/03/2016 10:36,11,16.49,9.04
3/03/2016 10:37,11.74,15.99,8.66
3/03/2016 10:38,12.03,18.29,8.84
3/03/2016 10:41,13.01,15.08,8.95
3/03/2016 10:42,11.93,17.78,8.65
3/03/2016 10:42,12.26,15.51,8.95
3/03/2016 10:43,12.05,14.69,8.34
3/03/2016 10:44,10.67,14.49,8.58
3/03/2016 10:46,11.49,13.35,8.55
3/03/2016 10:47,12.1,15.16,8.03
3/03/2016 10:48,10.51,15.51,8.71
3/03/2016 10:49,11,13.05,8.69
3/03/2016 10:49,10.79,15.12,8.4
3/03/2016 10:51,10.97,17.67,8.81
3/03/2016 10:51,13.07,14.65,8.39
3/03/2016 10:52,10.29,16.5,8.95
3/03/2016 10:53,10.66,13.11,8.31
3/03/2016 10:53,10.03,14.44,8.62
3/03/2016 10:54,11.85,13.46,8.99
3/03/2016 10:55,9.72,15.48,8.48
3/03/2016 10:56,11.01,15.4,8.3
3/03/2016 10:56,10.37,14.89,8.53
3/03/2016 10:57,9.19,13.56,8.14
3/03/2016 10:57,9.56,14.81,8.16
3/03/2016 10:59,10.79,12.56,7.83
3/03/2016 11:00,10.16,13.74,7.91
3/03/2016 11:01,10.32,14.15,8.07
3/03/2016 11:02,10.37,13.85,8.07
3/03/2016 11:03,10.55,12.96,7.89
3/03/2016 11:03,10.58,14.24,8.12
3/03/2016 11:04,9.3,15.48,7.98
3/03/2016 11:05,10.29,14.3,7.82
3/03/2016 11:06,10.18,14.55,8.13
3/03/2016 11:07,10.04,12.81,8.23
3/03/2016 11:08,9.83,13.46,8.02
3/03/2016 11:09,9.41,12.91,7.79
3/03/2016 11:09,10.28,15.32,8.25
3/03/2016 11:10,9.19,13.06,8.06
3/03/2016 11:14,10.12,12.66,7.87
3/03/2016 11:16,10.32,13.5,8.03
3/03/2016 11:16,11.31,15.4,8.22
3/03/2016 11:17,11.51,15.02,8.04
3/03/2016 11:18,9.37,15.4,8.28
3/03/2016 11:19,10.23,13.55,7.87
3/03/2016 11:19,10.29,13.45,8.01
3/03/2016 11:20,10.29,13.75,8.07
3/03/2016 11:21,10.94,13.96,7.92
3/03/2016 11:21,11.17,14.55,8.51
3/03/2016 11:22,10.26,14.85,8.22
3/03/2016 11:23,10.83,13.46,7.97
3/03/2016 11:25,10.26,13.95,8.15
3/03/2016 11:25,12.42,13.35,7.53
3/03/2016 11:26,11.08,14.09,7.94
3/03/2016 11:27,11.56,14.92,7.98
3/03/2016 11:27,11.74,14.88,8.21
3/03/2016 11:28,11.08,12.86,8.36
3/03/2016 11:29,10.61,12.56,7.81
3/03/2016 11:29,10.45,11.71,7.72
3/03/2016 11:30,10.2,12.7,7.53
3/03/2016 11:30,10.63,13.2,7.74
3/03/2016 11:34,10.79,15.04,8.1
3/03/2016 11:34,11.23,15.31,8.3
3/03/2016 11:35,10.55,12.66,8.27
3/03/2016 11:36,12.08,13.76,8.33
3/03/2016 11:37,12.4,14.24,8.53
3/03/2016 11:38,11.18,14.89,8.43
3/03/2016 11:38,9.39,14.4,8.45
3/03/2016 11:39,11.88,16.22,8.55
3/03/2016 11:42,10.82,13.41,8.31
3/03/2016 11:42,10.81,14.2,8.39
3/03/2016 11:44,12.75,14,8.67
3/03/2016 11:45,10.66,13.89,8.72
3/03/2016 11:46,11.85,16.14,8.47
3/03/2016 11:47,12,14.45,8.52
3/03/2016 11:47,12.36,15.71,8.82
3/03/2016 11:48,11.54,14.92,8.39
3/03/2016 11:49,10.84,14.54,8.58
3/03/2016 11:49,11.67,13.55,8.19
3/03/2016 11:50,11.79,14.73,8.14
3/03/2016 11:51,11.56,13.85,8.21
3/03/2016 11:51,10.86,14.2,8.33
3/03/2016 11:54,11.15,14.81,8.13
3/03/2016 11:55,11.02,14.89,8.48
3/03/2016 11:56,12.41,14.45,8.49
3/03/2016 11:56,10.7,14.2,8.06
3/03/2016 11:57,11.44,13.5,7.9
3/03/2016 11:58,11.59,13.26,9.02
3/03/2016 11:59,11.35,14.49,8.34
3/03/2016 11:59,11.43,12.47,8.18
3/03/2016 12:00,10.84,14.89,8.38
3/03/2016 12:01,10.37,14.89,8.44
3/03/2016 12:01,10.1,13.75,8.39
3/03/2016 12:02,11.03,13.41,8.32
3/03/2016 12:03,11.17,15.44,8.35
3/03/2016 12:03,10.01,15.2,8.24
3/03/2016 12:04,10.75,15.01,8.32
3/03/2016 12:05,10.63,14.7,8.5
3/03/2016 12:05,11.47,14.2,9
3/03/2016 12:06,11.4,14.31,9.08
3/03/2016 12:07,11.49,15.2,8.89
3/03/2016 12:07,11.9,13.16,8.79
3/03/2016 12:08,9.92,14.5,8.65
3/03/2016 12:09,12.44,15.28,8.74
3/03/2016 12:10,8.97,14.05,9.09
3/03/2016 12:11,10.21,15.72,8.81
3/03/2016 12:11,11.2,13.9,8.76
3/03/2016 12:12,10.06,15.16,8.72
3/03/2016 12:13,11.65,15.71,8.9
3/03/2016 12:14,14.28,16.03,8.55
3/03/2016 12:15,12.01,15.62,9.36
3/03/2016 12:16,11.14,16.68,9.15
3/03/2016 12:16,12.68,14.85,8.85
3/03/2016 12:17,11.31,13.65,8.59
3/03/2016 12:17,11.89,15.28,8.96
3/03/2016 12:18,10.76,14.45,9.17
3/03/2016 12:19,11.04,15.72,8.9
3/03/2016 12:20,11.12,15.2,8.98
3/03/2016 12:21,11.14,14.74,9.07
3/03/2016 12:22,12.18,15.16,8.61
3/03/2016 12:22,11,13.8,8.59
3/03/2016 12:23,11.12,14.89,8.57
3/03/2016 12:24,12.83,14.89,8.46
3/03/2016 12:24,11,14.55,8.31
3/03/2016 12:26,11.88,14.05,8.25
3/03/2016 12:27,10.26,14.5,8.38
3/03/2016 12:27,11.75,15,8.9
3/03/2016 12:28,10.72,12.81,8.47
3/03/2016 12:29,11.12,15.91,8.35
3/03/2016 12:30,11.59,14.25,8.49
3/03/2016 12:30,9.95,13.31,8.65
3/03/2016 12:31,11.44,13.61,8.16
3/03/2016 12:32,10.35,13.95,8.51
3/03/2016 12:32,8.85,14,8.21
3/03/2016 12:33,9.84,14.44,8.45
3/03/2016 12:33,9.84,14.2,8.11
3/03/2016 12:36,10.92,15.44,8.64
3/03/2016 12:37,10.94,13.7,9.05
3/03/2016 12:38,11.07,13.9,8.6
3/03/2016 12:38,10.5,15.6,8.88
3/03/2016 12:39,10.4,13.95,8.62
3/03/2016 12:40,10.65,12.01,8.74
3/03/2016 12:41,8.99,12.11,8.26
3/03/2016 12:42,8.56,12.06,8.27
3/03/2016 12:43,8.47,12.71,8.73
3/03/2016 12:44,8.75,11.71,8.35
3/03/2016 12:44,9.13,13.65,8.75
3/03/2016 12:45,8.63,13.96,8.11
3/03/2016 12:46,9.76,10.43,8.09
3/03/2016 12:46,9,13.8,8.19
3/03/2016 12:47,9.9,13.7,7.94
3/03/2016 12:48,10.1,13.46,7.79
3/03/2016 12:48,9.96,13.8,8.05
3/03/2016 12:49,9.58,12.26,8.3
3/03/2016 12:50,9.16,14.64,8.18
3/03/2016 12:50,9.53,14.05,8.16
3/03/2016 12:51,11.21,14.89,8.03
3/03/2016 12:52,11,16.14,9.31
3/03/2016 12:52,11.09,11.81,8.1
3/03/2016 12:54,10.68,12.21,8.47
3/03/2016 12:54,10.16,12.31,8.47
3/03/2016 12:55,10.03,14.01,8.53
3/03/2016 12:56,10.88,13.11,8.38
3/03/2016 12:56,9.72,12.61,8.39
3/03/2016 12:57,11.25,12.95,8.03
3/03/2016 12:58,9.67,14.05,8.53
3/03/2016 12:58,10.55,13.6,8.2
3/03/2016 12:59,9.89,12.81,8.36
3/03/2016 13:00,9.56,14.49,8.25
3/03/2016 13:01,9.64,12.36,8.16
3/03/2016 13:01,11.26,14.96,8.15
3/03/2016 13:02,9.9,15.59,8.16
3/03/2016 13:03,9.58,13.9,8.32
3/03/2016 13:03,9.92,15.05,8.09
3/03/2016 13:04,9.36,16.14,8.4
3/03/2016 13:05,10.99,14.55,8.14
3/03/2016 13:06,10.26,13.21,8.16
3/03/2016 13:07,10.06,11.41,7.93
3/03/2016 13:07,9.76,13.16,8.1
3/03/2016 13:08,9.65,12.61,8.1
3/03/2016 13:09,10,11.47,8.34
3/03/2016 13:09,10.43,11.12,7.99
3/03/2016 13:10,10.42,12.21,8.01
3/03/2016 13:10,10.15,12.16,7.88
3/03/2016 13:11,10.48,13.16,7.83
3/03/2016 13:12,9.65,13,7.86
3/03/2016 13:12,9.61,14.05,8.2
3/03/2016 13:13,11.07,12.56,8.35
3/03/2016 13:14,10.06,13.7,8.06
3/03/2016 13:15,10.98,12.26,7.87
3/03/2016 13:15,10.74,15.09,7.71
3/03/2016 13:16,9.97,12.51,8.03
3/03/2016 13:17,9.93,12.31,7.83
3/03/2016 13:17,11.64,12.06,7.92
3/03/2016 13:18,9.9,12.95,8.09
3/03/2016 13:19,10.48,11.76,7.88
3/03/2016 13:19,11.25,12.71,8.15
3/03/2016 13:20,10.5,13.65,8.31
3/03/2016 13:22,10.89,11.02,8.6
3/03/2016 13:23,10.56,12.41,7.99
3/03/2016 13:23,10.51,14.73,7.9
3/03/2016 13:24,9.53,11.86,7.91
3/03/2016 13:25,9.53,13.41,8.39
3/03/2016 13:25,11.21,15.08,8.29
3/03/2016 13:26,11.49,13.4,8.39
3/03/2016 13:27,10.45,13.71,8.19
3/03/2016 13:28,10.75,13.26,8.06
3/03/2016 13:28,11.17,12.75,8.2
3/03/2016 13:29,10.61,13.84,7.88
3/03/2016 13:30,10.18,13.5,8.21
3/03/2016 13:31,10.32,12.8,8.42
3/03/2016 13:31,10.85,13.51,8.24
3/03/2016 13:32,9.9,13.45,8.45
3/03/2016 13:33,8.66,12.31,8.45
3/03/2016 13:34,10.68,12.01,8.09
3/03/2016 13:34,10.85,13.05,8.37
3/03/2016 13:35,9.87,13.16,8.06
3/03/2016 13:36,9.75,13.65,8.33
3/03/2016 13:37,10.24,16.37,8.62
