t,M1,M2,OPC
3/03/2016 10:35,12,13.82,4.5
3/03/2016 10:36,10.9,16.39,4.55
3/03/2016 10:37,11.64,15.89,4.36
3/03/2016 10:38,11.92,18.18,4.46
3/03/2016 10:41,12.89,15,4.49
3/03/2016 10:42,11.82,17.68,4.27
3/03/2016 10:42,12.15,15.42,4.45
3/03/2016 10:43,11.95,14.61,4.2
3/03/2016 10:44,10.56,14.41,4.34
3/03/2016 10:46,11.38,13.28,4.32
3/03/2016 10:47,12,15.07,4.24
3/03/2016 10:48,10.41,15.42,4.04
3/03/2016 10:49,10.9,12.98,4.38
3/03/2016 10:49,10.69,15.03,4.23
3/03/2016 10:51,10.87,17.56,4.44
3/03/2016 10:51,12.96,14.56,4.23
3/03/2016 10:52,10.2,16.39,4.45
3/03/2016 10:53,10.56,13.03,4.19
3/03/2016 10:53,9.95,14.36,4.35
3/03/2016 10:54,11.74,13.37,4.47
3/03/2016 10:55,9.64,15.38,4.29
3/03/2016 10:56,10.92,15.31,4.19
3/03/2016 10:56,10.28,14.8,4.25
3/03/2016 10:57,9.11,13.47,4.1
3/03/2016 10:57,9.47,14.72,4.11
3/03/2016 10:59,10.69,12.48,4.06
3/03/2016 11:00,10.07,13.67,3.98
3/03/2016 11:01,10.23,14.07,4.07
3/03/2016 11:02,10.28,13.77,4.08
3/03/2016 11:03,10.46,12.88,3.97
3/03/2016 11:03,10.49,14.16,4.09
3/03/2016 11:04,9.22,15.38,4.02
3/03/2016 11:05,10.2,14.21,3.93
3/03/2016 11:06,10.09,14.46,4.08
3/03/2016 11:07,9.95,12.73,4.14
3/03/2016 11:08,9.75,13.37,4.01
3/03/2016 11:09,9.33,12.83,3.93
3/03/2016 11:09,10.2,15.23,4.15
3/03/2016 11:10,9.11,12.98,4.05
3/03/2016 11:14,10.03,12.58,3.96
3/03/2016 11:16,10.23,13.42,4.04
3/03/2016 11:16,11.2,15.31,4.13
3/03/2016 11:17,11.41,14.92,4.04
3/03/2016 11:18,9.28,15.31,4.16
3/03/2016 11:19,10.14,13.47,3.97
3/03/2016 11:19,10.2,13.37,4.03
3/03/2016 11:20,10.2,13.67,4.06
3/03/2016 11:21,10.85,13.87,3.99
3/03/2016 11:21,11.08,14.46,4.29
3/03/2016 11:22,10.17,14.76,4.14
3/03/2016 11:23,10.74,13.37,4.02
3/03/2016 11:25,10.17,13.87,4.11
3/03/2016 11:25,12.31,13.28,4.01
3/03/2016 11:26,10.97,14.02,4.02
3/03/2016 11:27,11.46,14.84,4.13
3/03/2016 11:27,11.64,14.8,4.23
3/03/2016 11:28,10.97,12.78,3.95
3/03/2016 11:29,10.51,12.48,3.9
3/03/2016 11:29,10.36,11.64,3.8
3/03/2016 11:30,10.11,12.63,3.91
3/03/2016 11:30,10.54,13.13,4.06
3/03/2016 11:34,10.69,14.95,4.09
3/03/2016 11:34,11.13,15.23,4.2
3/03/2016 11:35,10.46,12.58,4.18
3/03/2016 11:36,11.97,13.67,4.2
3/03/2016 11:37,12.28,14.16,4.3
3/03/2016 11:38,11.08,14.8,4.26
3/03/2016 11:38,9.3,14.31,4.26
3/03/2016 11:39,11.77,16.12,4.32
3/03/2016 11:42,10.72,13.32,4.19
3/03/2016 11:42,10.72,14.12,4.24
3/03/2016 11:44,12.64,13.92,4.31
3/03/2016 11:45,10.56,13.82,4.39
3/03/2016 11:46,11.74,16.05,4.29
3/03/2016 11:47,11.9,14.36,4.29
3/03/2016 11:47,12.25,15.62,4.46
3/03/2016 11:48,11.43,14.84,4.23
3/03/2016 11:49,10.74,14.46,4.32
3/03/2016 11:49,11.56,13.47,4.11
3/03/2016 11:50,11.69,14.65,4.11
3/03/2016 11:51,11.46,13.77,4.14
3/03/2016 11:51,10.77,14.12,4.19
3/03/2016 11:54,11.05,14.72,4.09
3/03/2016 11:55,10.92,14.8,4.25
3/03/2016 11:56,12.31,14.36,4.28
3/03/2016 11:56,10.62,14.12,4.07
3/03/2016 11:57,11.33,13.42,4
3/03/2016 11:58,11.49,13.18,4.55
3/03/2016 11:59,11.26,14.41,4.21
3/03/2016 11:59,11.33,12.38,4.13
3/03/2016 12:00,10.74,14.8,4.24
3/03/2016 12:01,10.28,14.8,4.26
3/03/2016 12:01,10,13.67,4.24
3/03/2016 12:02,10.92,13.32,4.2
3/03/2016 12:03,11.08,15.35,4.21
3/03/2016 12:03,9.92,15.11,4.16
3/03/2016 12:04,10.64,14.92,4.18
3/03/2016 12:05,10.54,14.61,4.28
3/03/2016 12:05,11.36,14.12,4.52
3/03/2016 12:06,11.31,14.21,4.58
3/03/2016 12:07,11.38,15.11,4.49
3/03/2016 12:07,11.79,13.08,4.43
3/03/2016 12:08,9.83,14.41,4.36
3/03/2016 12:09,12.33,15.19,4.41
3/03/2016 12:10,8.88,13.97,4.59
3/03/2016 12:11,10.11,15.62,4.45
3/03/2016 12:11,11.1,13.82,4.41
3/03/2016 12:12,9.97,15.07,4.4
3/03/2016 12:13,11.54,15.62,4.49
3/03/2016 12:14,14.15,15.93,4.31
3/03/2016 12:15,11.9,15.54,4.69
3/03/2016 12:16,11.03,16.59,4.46
3/03/2016 12:16,12.56,14.76,4.34
3/03/2016 12:17,11.2,13.57,4.51
3/03/2016 12:17,11.79,15.19,4.62
3/03/2016 12:18,10.67,14.36,4.49
3/03/2016 12:19,10.95,15.62,4.64
3/03/2016 12:20,11.03,15.11,4.52
3/03/2016 12:21,11.05,14.65,4.57
3/03/2016 12:22,12.07,15.07,4.35
3/03/2016 12:22,10.9,13.72,4.34
3/03/2016 12:23,11.03,14.8,4.32
3/03/2016 12:24,12.72,14.8,4.27
3/03/2016 12:24,10.9,14.46,4.19
3/03/2016 12:26,11.77,13.97,4.17
3/03/2016 12:27,10.17,14.41,4.23
3/03/2016 12:27,11.64,14.92,4.27
3/03/2016 12:28,10.62,12.73,4.21
3/03/2016 12:29,11.03,15.81,4.28
3/03/2016 12:30,11.49,14.16,4.36
3/03/2016 12:30,9.86,13.23,4.11
3/03/2016 12:31,11.33,13.52,4.31
3/03/2016 12:32,10.25,13.87,4.15
3/03/2016 12:32,8.77,13.92,4.26
3/03/2016 12:33,9.75,14.36,4.09
3/03/2016 12:33,9.75,14.12,4.35
3/03/2016 12:36,10.82,15.35,4.57
3/03/2016 12:37,10.85,13.62,4.32
3/03/2016 12:38,10.97,13.82,4.48
3/03/2016 12:38,10.41,15.5,4.33
3/03/2016 12:39,10.31,13.87,4.4
3/03/2016 12:40,10.56,11.94,4.07
3/03/2016 12:41,8.91,12.04,4.16
3/03/2016 12:42,8.49,11.99,4.18
3/03/2016 12:43,8.64,12.63,4.4
3/03/2016 12:44,8.66,11.64,4.21
3/03/2016 12:44,9.05,13.57,4.38
3/03/2016 12:45,8.55,13.87,4.09
3/03/2016 12:46,9.64,10.36,4.07
3/03/2016 12:46,8.91,13.72,4.13
3/03/2016 12:47,9.81,13.62,4.01
3/03/2016 12:48,10,13.37,3.93
3/03/2016 12:48,9.86,13.72,4.05
3/03/2016 12:49,9.5,12.19,4.18
3/03/2016 12:50,9.08,14.56,4.12
3/03/2016 12:50,9.44,13.97,4.1
3/03/2016 12:51,11.1,14.8,4.05
3/03/2016 12:52,10.9,16.05,4.57
3/03/2016 12:52,11,11.74,4.08
3/03/2016 12:54,10.59,12.14,4.26
