t,M1,M2,OPC
10/03/2016 11:58,11.07,13.11,8.467901408
10/03/2016 11:58,10.83,11.57,6.687535211
10/03/2016 11:59,9.92,14.76,6.124352113
10/03/2016 12:00,10.34,11.91,6.356239437
10/03/2016 12:00,10.96,14.01,7.198338028
10/03/2016 12:01,10.62,14.34,7.723690141
10/03/2016 12:02,13.02,16.21,6.763295775
10/03/2016 12:02,9.47,15.28,6.78
10/03/2016 12:03,10.31,11.96,7.464549296
10/03/2016 12:04,11.8,15.73,6.813098592
10/03/2016 12:04,9.63,13.89,6.192802817
10/03/2016 12:05,9.58,13.5,8.327535211
10/03/2016 12:06,9.61,13.5,6.735887324
10/03/2016 12:06,9.61,12.16,7.356422535
10/03/2016 12:07,11.15,14.45,7.130732394
10/03/2016 12:08,10.45,15.48,7.578084507
10/03/2016 12:09,11.25,16.49,8.145887324
10/03/2016 12:10,12.53,15.82,7.129746479
10/03/2016 12:11,12.68,16.36,8.872690141
10/03/2016 12:12,10.26,18.4,6.964042254
10/03/2016 12:13,11.81,13.4,7.246830986
10/03/2016 12:14,9.64,12.31,7.17343662
10/03/2016 12:14,10.2,11.27,6.720661972
10/03/2016 12:15,11.43,13.21,7.648408451
10/03/2016 12:16,11.58,14.74,7.632746479
10/03/2016 12:17,12.75,14,7.962605634
10/03/2016 12:18,11.37,13.25,9.531816901
10/03/2016 12:19,11.56,15.48,8.209760563
10/03/2016 12:19,11.14,18.06,8.190239437
10/03/2016 12:20,9.47,15.12,9.575267606
10/03/2016 12:21,10,17.18,7.313309859
10/03/2016 12:21,9.38,16.45,6.944
10/03/2016 12:22,10.25,14.3,7.924690141
10/03/2016 12:23,10.7,15.08,10.14869014
10/03/2016 12:23,14.48,13.25,10.62842254
10/03/2016 12:24,9.47,12.51,7.336591549
10/03/2016 12:25,10.57,15.75,7.548830986
10/03/2016 12:25,9.74,21.24,7.30343662
10/03/2016 12:26,10.65,13.95,7.421816901
10/03/2016 12:27,12.46,18.72,7.841830986
10/03/2016 12:28,13.04,13.25,8.219098592
10/03/2016 12:28,12.09,13.65,9.450112676
10/03/2016 12:30,11.38,16.41,8.01715493
10/03/2016 12:31,13.23,17.23,9.285619718
10/03/2016 12:31,10.32,16.14,9.246619718
10/03/2016 12:32,10.89,16.84,7.831971831
10/03/2016 12:33,13.06,17.46,8.224549296
10/03/2016 12:33,11.39,15.12,8.374760563
10/03/2016 12:34,10.39,16.49,7.965140845
10/03/2016 12:34,11.43,15.05,7.627211268
10/03/2016 12:35,9.72,15.04,8.676605634
10/03/2016 12:36,16.78,17.7,8.768309859
10/03/2016 12:36,11.38,17.11,7.548535211
10/03/2016 12:37,9.15,14.81,7.702042254
10/03/2016 12:38,11.7,12.81,8.057112676
10/03/2016 12:38,12.63,14.19,8.614211268
10/03/2016 12:39,11.27,15.44,7.234788732
10/03/2016 12:41,10.44,13.9,7.105169014
10/03/2016 12:41,10.91,17.15,7.204070423
10/03/2016 12:42,11.27,12.26,7.15115493
10/03/2016 12:43,10.49,14.88,6.998492958
10/03/2016 12:43,10.16,14.64,7.097661972
10/03/2016 12:44,10.11,14.5,6.759464789
10/03/2016 12:45,8.73,16.17,6.682577465
10/03/2016 12:45,10.25,16.59,6.692169014
10/03/2016 12:46,9.1,12.81,7.300591549
10/03/2016 12:47,9.58,14.24,7.051591549
10/03/2016 12:47,9.58,11.41,7.452295775
10/03/2016 12:48,11.04,13.74,6.927225352
10/03/2016 12:49,9.97,13.75,7.121816901
10/03/2016 12:49,8.59,13.5,7.274746479
10/03/2016 12:50,9.1,11.51,7.000873239
10/03/2016 12:51,8.62,10.67,6.765985915
10/03/2016 12:51,9.29,14.15,6.490591549
10/03/2016 12:52,7.53,13.01,6.58043662
10/03/2016 12:53,8.63,10.57,6.199352113
10/03/2016 12:53,11.04,10.37,6.53456338
10/03/2016 12:54,8.2,12.6,6.909253521
10/03/2016 12:55,7.87,10.67,6.071295775
10/03/2016 12:55,7.08,11.26,5.927380282
10/03/2016 12:56,8.37,15.74,6.344140845
10/03/2016 12:57,8.88,9.98,6.127915493
10/03/2016 12:57,11.47,12.6,6.982
10/03/2016 12:58,11.95,9.73,7.523211268
10/03/2016 12:59,19.76,11.11,10.10585915
10/03/2016 12:59,13.45,11.57,21.91067606
10/03/2016 13:00,10.91,17.68,8.393352113
10/03/2016 13:01,7.81,25.68,7.427676056
10/03/2016 13:01,9.39,28.39,6.209169014
10/03/2016 13:02,10.42,16.8,6.312690141
10/03/2016 13:03,10.37,13.34,6.876760563
10/03/2016 13:04,18.65,13.34,6.803140845
10/03/2016 13:05,9.83,11.31,6.716985915
10/03/2016 13:05,10.96,15.04,9.406676056
10/03/2016 13:06,10.18,14.2,7.578788732
10/03/2016 13:07,9.61,22.2,7.461647887
10/03/2016 13:07,9.61,12.26,7.461619718
10/03/2016 13:08,10.51,16.05,7.179619718
10/03/2016 13:09,9.88,19.66,8.017352113
10/03/2016 13:10,8.99,15.63,7.099352113
10/03/2016 13:11,10.08,13,6.916676056
10/03/2016 13:11,8.73,14.67,8.215070423
10/03/2016 13:12,9.1,13.05,7.189140845
10/03/2016 13:13,9.3,11.31,7.396295775
10/03/2016 13:13,11.27,16.16,7.329197183
10/03/2016 13:14,8.42,13.05,6.683140845
10/03/2016 13:15,8.45,11.91,6.695140845
10/03/2016 13:15,8.93,14.44,7.227760563
10/03/2016 13:16,11.11,11.07,7.161507042
10/03/2016 13:17,10.63,11.66,8.334605634
10/03/2016 13:17,11.17,11.96,7.432211268
10/03/2016 13:18,10.7,12.65,7.057535211
10/03/2016 13:19,10.77,16.13,7.347830986
10/03/2016 13:19,9.63,10.37,7.278140845
10/03/2016 13:20,10.32,13.85,6.845802817
10/03/2016 13:24,13.2,12.71,6.913985915
10/03/2016 13:25,9.11,15.82,7.040352113
10/03/2016 13:26,9.52,13.95,6.501647887
10/03/2016 13:26,9.87,14.3,6.75184507
10/03/2016 13:27,9.38,12.11,6.690619718
10/03/2016 13:28,9.63,14.59,6.816394366
10/03/2016 13:28,11.03,11.56,6.939352113
10/03/2016 13:29,13.61,11.36,7.044802817
10/03/2016 13:30,13.14,10.96,8.711774648
10/03/2016 13:30,9.55,11.52,7.717422535
10/03/2016 13:31,12.4,14.81,7.211450704
10/03/2016 13:32,12.12,13.25,8.682014085
10/03/2016 13:32,9.58,17.88,7.189816901
10/03/2016 13:33,11.27,20.6,7.817323944
10/03/2016 13:34,11.03,15.62,8.533746479
10/03/2016 13:35,14.14,16.24,9.875732394
10/03/2016 13:35,8.82,17.41,7.292042254
10/03/2016 13:36,9.74,13.95,7.187647887
10/03/2016 13:37,10.76,13.05,7.936394366
