t,M1,M2,OPC
10/03/2016 11:58,10.97,13.027,4.18
10/03/2016 11:58,10.74,11.495,3.36
10/03/2016 11:59,9.83,14.685,3.1
10/03/2016 12:00,10.25,11.841,3.22
10/03/2016 12:00,10.87,13.917,3.64
10/03/2016 12:01,10.54,14.263,3.88
10/03/2016 12:02,12.92,16.122,3.42
10/03/2016 12:02,9.39,15.19,3.41
10/03/2016 12:03,10.23,11.89,3.75
10/03/2016 12:04,11.72,15.656,3.41
10/03/2016 12:04,9.56,13.818,3.14
10/03/2016 12:05,9.5,13.423,4.07
10/03/2016 12:06,9.53,13.423,3.38
10/03/2016 12:06,9.53,12.088,3.68
10/03/2016 12:07,11.05,14.362,3.59
10/03/2016 12:08,10.36,15.384,3.76
10/03/2016 12:09,10.16,16.394,3.7
10/03/2016 12:10,12.43,15.734,4.09
10/03/2016 12:11,12.59,16.278,3.83
10/03/2016 12:12,10.17,18.298,4.48
10/03/2016 12:13,11.72,13.324,3.51
10/03/2016 12:14,9.56,12.236,3.45
10/03/2016 12:14,10.11,11.198,3.64
10/03/2016 12:15,11.33,13.126,3.61
10/03/2016 12:16,11.49,14.646,3.39
10/03/2016 12:17,12.64,13.917,3.84
10/03/2016 12:18,11.28,13.176,3.82
10/03/2016 12:19,11.46,15.384,3.75
10/03/2016 12:19,11.05,17.948,4
10/03/2016 12:20,9.39,15.034,4.75
10/03/2016 12:21,9.92,17.093,4.12
10/03/2016 12:21,9.3,16.355,4.12
10/03/2016 12:22,10.17,14.214,4.75
10/03/2016 12:23,10.62,14.996,4.73
10/03/2016 12:23,14.35,13.176,4.76
10/03/2016 12:24,9.39,12.434,3.69
10/03/2016 12:25,10.49,15.656,3.48
10/03/2016 12:25,9.67,21.095,3.99
10/03/2016 12:26,10.56,13.868,5.03
10/03/2016 12:27,12.36,18.608,5.28
10/03/2016 12:28,12.95,13.176,3.68
10/03/2016 12:28,12,13.571,3.81
10/03/2016 12:30,11.28,16.316,3.7
10/03/2016 12:31,13.12,17.132,3.73
10/03/2016 12:31,10.23,16.045,3.96
10/03/2016 12:32,10.79,16.744,4.12
10/03/2016 12:33,12.95,17.365,4.73
10/03/2016 12:33,11.31,15.034,4.23
10/03/2016 12:34,10.31,16.394,4.02
10/03/2016 12:34,11.33,14.957,3.97
10/03/2016 12:35,9.64,14.957,4.62
10/03/2016 12:36,16.63,17.598,4.6
10/03/2016 12:36,11.28,17.015,3.94
10/03/2016 12:37,9.08,14.723,4.08
10/03/2016 12:38,11.61,12.73,4.19
10/03/2016 12:38,12.54,14.115,3.98
10/03/2016 12:39,11.18,15.345,3.84
10/03/2016 12:41,10.36,13.818,4.32
10/03/2016 12:41,10.82,17.054,4.37
10/03/2016 12:42,11.18,12.114,3.79
10/03/2016 12:43,10.41,14.801,3.88
10/03/2016 12:43,10.09,14.56,4.3
10/03/2016 12:44,10.03,14.411,3.65
10/03/2016 12:45,8.66,16.084,3.58
10/03/2016 12:45,10.17,16.511,3.63
10/03/2016 12:46,9.02,12.73,3.61
10/03/2016 12:47,9.5,14.164,3.52
10/03/2016 12:47,9.5,11.346,3.58
10/03/2016 12:48,10.95,13.67,3.4
10/03/2016 12:49,9.89,13.67,3.37
10/03/2016 12:49,8.52,13.423,3.36
10/03/2016 12:50,9.02,11.445,3.66
10/03/2016 12:51,8.55,10.604,3.53
10/03/2016 12:51,9.22,14.065,3.75
10/03/2016 12:52,7.46,12.929,3.49
10/03/2016 12:53,8.55,10.506,3.59
10/03/2016 12:53,10.95,10.308,3.66
10/03/2016 12:54,8.13,12.533,3.53
10/03/2016 12:55,7.8,10.604,3.4
10/03/2016 12:55,7.01,11.198,3.28
10/03/2016 12:56,8.3,15.656,3.32
10/03/2016 12:57,8.8,9.912,3.13
10/03/2016 12:57,11.38,12.533,3.29
10/03/2016 12:58,11.82,9.665,3.46
10/03/2016 12:59,19.63,11.05,3.06
10/03/2016 12:59,13.35,11.495,3
10/03/2016 13:00,10.82,17.598,3.21
10/03/2016 13:01,7.74,25.562,3.09
10/03/2016 13:01,9.3,28.264,3.51
10/03/2016 13:02,10.33,16.705,3.78
10/03/2016 13:03,10.28,13.275,5.08
10/03/2016 13:04,18.53,13.275,10.8
10/03/2016 13:05,9.75,11.247,4.24
10/03/2016 13:05,10.87,14.957,3.73
10/03/2016 13:06,10.09,14.115,3.14
10/03/2016 13:07,9.53,22.066,3.46
10/03/2016 13:07,9.53,12.187,3.42
10/03/2016 13:08,10.44,15.967,3.39
10/03/2016 13:09,9.81,19.541,4.71
10/03/2016 13:10,8.91,15.54,3.47
10/03/2016 13:11,10,12.929,3.82
10/03/2016 13:11,8.66,14.607,3.73
10/03/2016 13:12,9.02,12.978,3.74
10/03/2016 13:13,9.22,11.247,4.03
10/03/2016 13:13,11.18,16.084,4.45
10/03/2016 13:14,8.35,12.978,3.57
10/03/2016 13:15,8.38,11.841,3.47
10/03/2016 13:15,8.86,14.362,4.12
10/03/2016 13:16,11.03,11,3.62
10/03/2016 13:17,10.54,11.593,3.72
10/03/2016 13:17,11.08,11.89,3.68
10/03/2016 13:18,10.62,12.583,3.37
10/03/2016 13:19,10.69,16.045,3.37
10/03/2016 13:19,9.56,10.308,3.64
10/03/2016 13:20,10.23,13.769,3.6
10/03/2016 13:24,13.1,12.632,4.19
10/03/2016 13:25,9.02,15.734,3.73
10/03/2016 13:26,9.44,13.868,3.57
10/03/2016 13:26,9.11,14.214,3.68
10/03/2016 13:27,9.3,12.038,3.5
10/03/2016 13:28,9.56,14.51,3.96
10/03/2016 13:28,10.95,11.495,2.46
10/03/2016 13:29,13.51,11.296,3.48
10/03/2016 13:30,13.05,10.901,3.54
10/03/2016 13:30,9.47,11.445,4.01
10/03/2016 13:31,12.31,14.723,3.28
10/03/2016 13:32,12.02,13.176,3.4
10/03/2016 13:32,9.5,17.792,3.44
10/03/2016 13:33,11.18,20.512,3.48
10/03/2016 13:34,10.95,15.54,3.54
10/03/2016 13:35,14.02,16.161,4.38
10/03/2016 13:35,8.75,17.31,3.89
10/03/2016 13:36,9.67,13.868,3.64
10/03/2016 13:37,10.67,12.978,4.36
10/03/2016 13:37,8.69,14.362,3.62
10/03/2016 13:38,11.69,17.404,3.91
10/03/2016 13:39,10.87,11.247,4.3
10/03/2016 13:39,9.08,16.278,4.91
10/03/2016 13:40,10.03,14.607,3.68
10/03/2016 13:41,13.41,11.198,3.62
10/03/2016 13:41,9.75,14.016,3.99
10/03/2016 13:42,11.13,15.656,3.49
10/03/2016 13:43,12.05,12.088,3.43
10/03/2016 13:43,10.64,12.335,4.12
10/03/2016 13:44,7.43,17.015,4.24
10/03/2016 13:45,9.05,15.928,3.92
10/03/2016 13:45,10.11,14.362,4.26
10/03/2016 13:46,8.75,17.132,4.9
10/03/2016 13:47,8.13,14.115,3.96
10/03/2016 13:47,13.53,9.665,4.18
10/03/2016 13:48,15.71,11.099,4.28
10/03/2016 13:49,9.44,13.621,3.96
10/03/2016 13:49,10.09,13.076,3.58
10/03/2016 13:50,9.19,13.818,3.7
10/03/2016 13:51,9.81,21.133,3.6
10/03/2016 13:51,11.28,21.794,3.84
10/03/2016 13:52,10.82,14.607,4.24
10/03/2016 13:52,9.39,16.239,5.03
10/03/2016 13:53,9.97,13.967,4.88
10/03/2016 13:54,12.2,15.617,3.96
10/03/2016 13:54,9.64,13.027,4.25
10/03/2016 13:55,11.1,13.176,3.78
10/03/2016 13:56,14.1,13.176,3.98
10/03/2016 13:56,9.36,14.723,4.26
10/03/2016 13:57,10.51,16.666,4.07
10/03/2016 13:58,11.84,11.939,4.03
10/03/2016 13:58,14.4,13.275,4.45
10/03/2016 13:59,9.78,16.316,4.09
10/03/2016 14:00,9.11,11.247,3.84
10/03/2016 14:00,12.15,15.268,4.26
10/03/2016 14:01,11.08,16.122,3.99
10/03/2016 14:02,13.66,16.705,3.82
10/03/2016 14:02,9.08,13.176,4.22
10/03/2016 14:03,9.47,15.268,4.96
10/03/2016 14:04,10.39,15.889,4.06
10/03/2016 14:04,10.79,13.225,4.03
10/03/2016 14:05,11.77,17.326,4.2
10/03/2016 14:06,9.19,13.225,3.88
10/03/2016 14:06,10.95,12.879,3.95
10/03/2016 14:07,13.15,14.115,3.67
10/03/2016 14:08,13.28,15.034,3.83
10/03/2016 14:08,16.09,16.084,3.56
10/03/2016 14:09,11.64,14.313,3.91
10/03/2016 14:10,10.36,15.073,3.96
10/03/2016 14:10,10.95,21.056,3.75
10/03/2016 14:11,13.53,16.433,3.96
10/03/2016 14:12,10.25,19.308,4.15
10/03/2016 14:13,9.28,14.918,3.94
10/03/2016 14:13,10.46,14.685,4.77
10/03/2016 14:14,11.41,15.501,4.33
10/03/2016 14:15,12.15,15.967,3.82
10/03/2016 14:15,10.51,13.917,3.7
10/03/2016 14:16,10.31,14.065,4.07
10/03/2016 14:17,9.81,15.889,4.18
10/03/2016 14:17,10.35,17.754,3.78
10/03/2016 14:18,13.23,12.78,3.94
10/03/2016 14:19,12.64,14.362,4.32
10/03/2016 14:19,10.72,14.214,3.98
10/03/2016 14:20,11.18,14.214,3.63
10/03/2016 14:21,10.62,14.411,4.2
10/03/2016 14:21,8.27,18.764,3.89
10/03/2016 14:22,10.77,16.161,3.92
10/03/2016 14:23,10.39,14.461,3.99
10/03/2016 14:23,9.64,14.51,4.34
10/03/2016 14:24,12.54,13.275,4.29
10/03/2016 14:25,13.1,13.324,4.51
10/03/2016 14:25,12.07,14.016,4.09
10/03/2016 14:26,10.36,12.384,3.6
10/03/2016 14:27,10.82,19.424,3.55
10/03/2016 14:28,9.78,17.443,3.89
10/03/2016 14:29,11.56,13.719,3.62
10/03/2016 14:29,11.46,14.762,3.88
10/03/2016 14:30,10.33,14.214,3.88
10/03/2016 14:31,10.14,13.275,3.69
10/03/2016 14:32,9.28,15.462,3.93
10/03/2016 14:32,9.95,14.801,3.67
10/03/2016 14:33,9.75,13.967,3.83
10/03/2016 14:34,11.41,14.84,3.88
10/03/2016 14:34,14.43,12.829,3.96
10/03/2016 14:35,9.81,12.335,3.66
10/03/2016 14:36,12.33,14.56,3.65
10/03/2016 14:36,11.08,14.879,3.52
10/03/2016 14:37,12.74,17.87,3.77
10/03/2016 14:38,13.64,15.229,3.81
10/03/2016 14:38,15.48,14.84,4.26
10/03/2016 14:39,15.84,15.306,4.12
10/03/2016 14:40,15.45,17.831,3.77
10/03/2016 14:40,15.25,17.87,4.02
10/03/2016 14:41,17.17,19.968,4.66
10/03/2016 14:42,17.4,16.239,5.01
10/03/2016 14:42,14,17.948,5.41
10/03/2016 14:43,13.43,28.243,5.81
10/03/2016 14:44,15.45,22.144,5.58
10/03/2016 14:44,16.22,18.958,5.81
10/03/2016 14:45,17.17,19.308,5.92
10/03/2016 14:46,16.22,18.686,5.88
10/03/2016 14:46,13.69,21.211,5.91
10/03/2016 14:47,16.86,22.493,5.85
10/03/2016 14:48,14.1,20.123,5.84
10/03/2016 14:48,14.87,19.114,6.13
10/03/2016 14:49,17.84,20.745,6.06
10/03/2016 14:50,16.07,20.512,5.75
10/03/2016 14:51,16.61,17.792,5.41
10/03/2016 14:52,17.02,24.086,5.95
10/03/2016 14:52,16.97,19.153,5.66
10/03/2016 14:53,15.79,21.056,6.07
10/03/2016 14:54,14.23,21.483,6.8
